timestamp,connect,service,status
1431582320,0,1,200
1431582322,1,1,200
1431582331,1,2,200
1431582333,0,2,200
1431582344,0,2,200
1431582355,0,1,200
1431582359,0,1,200
1431582366,4,2,200
1431582377,1,2,200
1431582388,1,2,200
1431582395,1,2,200
1431582400,1,5,200
1431582401,1,1,200
1431582401,0,1,200
1431582411,1,1,200
1431582421,0,1,200
1431582422,2,2,200
1431582433,1,2,200
1431582444,1,2,200
1431582450,1,2,200
1431582455,1,6,200
1431582466,1,1,200
1431582473,0,2,200
1431582477,1,2,200
1431582488,1,2,200
1431582499,1,2,200
1431582510,2,2,200
1431582510,0,1,200
1431582520,2,2,200
1431582521,5,4,200
1431582521,1,2,200
1431582523,1,1,200
1431582523,1,5,200
1431582532,1,2,200
1431582543,1,2,200
1431582554,1,2,200
1431582565,1,2,200
1431582566,1,2,200
1431582576,1,2,200
1431582582,3,3,200
1431582587,1,1,200
1431582595,1,2,200
1431582598,5,2,200
1431582603,1,2,200
1431582609,4,2,200
1431582610,1,1,200
1431582620,1,2,200
1431582631,3,3,200
1431582642,1,2,200
1431582653,2,2,200
1431582664,1,2,200
1431582676,1,2,200
1431582681,1,1,200
1431582682,1,4,200
1431582682,0,1,200
1431582687,1,5,200
1431582687,1,2,200
1431582690,1,3,200
1431582697,0,1,200
1431582698,1,2,200
1431582709,1,2,200
1431582720,0,1,200
1431582731,0,1,200
1431582742,0,1,200
1431582753,0,4,200
1431582764,0,1,200
1431582775,1,2,200
1431582786,1,5,200
1431582797,2,3,200
1431582797,7,8,200
1431582806,1,2,200
1431582808,1,2,200
1431582819,1,2,200
1431582827,2,3,200
1431582830,2,2,200
1431582841,3,4,200
1431582847,1,2,200
1431582852,6,4,200
1431582863,3,2,200
1431582874,2,2,200
1431582877,3,5,200
1431582885,1,3,200
1431582896,2,6,200
1431582903,0,4,200
1431582907,2,3,200
1431582918,1,2,200
1431582918,1,2,200
1431582920,1,3,200
1431582929,2,4,200
1431582935,1,6,200
1431582940,1,6,200
1431582951,1,2,200
1431582963,1,2,200
1431582968,2,3,200
1431582974,0,1,200
1431582985,0,1,200
1431582989,1,1,200
1431582990,1,2,200
1431582994,1,2,200
1431582996,2,2,200
1431583007,5,2,200
1431583018,1,2,200
1431583020,3,3,200
1431583029,1,3,200
1431583040,2,3,200
1431583051,1,2,200
1431583052,1,2,200
1431583062,3,4,200
1431583073,1,2,200
1431583078,0,1,200
1431583084,1,4,200
1431583086,1,2,200
1431583095,2,4,200
1431583105,2,6,200
1431583106,1,2,200
1431583113,0,1,200
1431583113,0,1,200
1431583116,1,3,200
1431583117,2,2,200
1431583124,0,1,200
1431583128,1,5,200
1431583132,1,2,200
1431583139,4,6,200
1431583148,0,1,200
1431583150,1,2,200
1431583161,1,2,200
1431583172,1,2,200
1431583183,3,2,200
1431583194,1,2,200
1431583197,3,4,200
1431583203,1,6,200
1431583205,2,2,200
1431583207,0,1,200
1431583214,1,3,200
1431583216,3,3,200
1431583227,5,3,200
1431583229,0,4,200
1431583229,1,2,200
1431583232,0,1,406
1431583233,0,1,200
1431583233,0,2,200
1431583234,0,1,200
1431583234,0,1,200
1431583235,1,2,200
1431583238,2,3,200
1431583240,1,3,200
1431583241,1,2,200
1431583244,0,1,200
1431583249,1,2,200
1431583260,1,2,200
1431583264,1,3,200
1431583266,1,4,200
1431583271,1,3,200
1431583275,0,3,200
1431583281,1,2,200
1431583283,6,2,200
1431583285,1,3,200
1431583294,1,6,200
1431583296,1,3,200
1431583303,2,4,200
1431583305,1,2,200
1431583308,0,1,200
1431583309,5,2,200
1431583310,0,1,406
1431583316,2,3,200
1431583323,2,2,200
1431583327,1,5,200
1431583338,5,3,200
1431583348,1,5,200
1431583349,2,9,200
1431583354,2,6,200
1431583360,2,3,200
1431583371,1,8,200
1431583382,2,3,200
1431583386,0,1,200
1431583393,1,3,200
1431583404,1,3,200
1431583415,2,3,200
1431583425,4,7,200
1431583426,1,2,200
1431583432,1,2,200
1431583432,1,2,200
1431583437,3,4,200
1431583448,2,4,200
1431583459,1,4,200
1431583470,2,5,200
1431583481,3,4,200
1431583492,2,2,200
1431583499,3,2,200
1431583503,0,1,200
1431583503,1,3,200
1431583514,1,2,200
1431583525,1,2,200
1431583536,1,7,200
1431583537,0,1,200
1431583545,0,1,200
1431583547,2,6,200
1431583558,2,5,200
1431583569,1,3,200
1431583574,1,2,200
1431583581,2,7,200
1431583592,1,3,200
1431583599,0,5,200
1431583603,1,2,200
1431583603,0,1,200
1431583605,0,1,406
1431583605,1,3,200
1431583614,1,2,200
1431583617,0,4,200
1431583625,2,3,200
1431583636,1,8,200
1431583647,2,3,200
1431583647,2,10,200
1431583648,0,1,200
1431583658,1,2,200
1431583669,2,5,200
1431583669,2,12,200
1431583680,1,2,200
1431583691,1,1,200
1431583702,1,2,200
1431583713,1,4,200
1431583720,0,2,200
1431583724,1,2,200
1431583728,1,2,200
1431583729,1,2,200
1431583735,1,2,200
1431583736,1,3,200
1431583746,13,4,200
1431583757,1,2,200
1431583764,1,2,200
1431583768,1,5,200
1431583779,1,8,200
1431583790,1,2,200
1431583801,4,3,200
1431583804,0,1,200
1431583812,1,2,200
1431583813,1,2,200
1431583816,1,2,200
1431583819,1,3,200
1431583823,1,2,200
1431583834,1,2,200
1431583845,1,2,200
1431583856,1,2,200
1431583867,2,2,200
1431583873,1,3,200
1431583878,1,6,200
1431583878,0,26,200
1431583888,0,7,200
1431583889,1,4,200
1431583900,1,2,200
1431583901,1,2,200
1431583903,5,2,200
1431583907,8,4,200
1431583912,1,2,200
1431583923,1,2,200
1431583927,3,6,200
1431583928,1,3,200
1431583934,5,2,200
1431583939,2,11,200
1431583939,4,2,200
1431583945,1,4,200
1431583948,1,3,200
1431583956,1,5,200
1431583959,1,2,200
